country,Total,happy,hate,love,sad
Argentina,20440,2914,575,3187,762
Australia,108868,12866,3300,15334,3912
Brazil,34289,4577,835,5000,1286
Canada,36821,4071,1365,5766,1337
China,77875,6868,1831,9210,2086
Costa Rica,3250,473,92,517,153
Cuba,9280,941,348,1616,326
Egypt,19952,1672,679,2445,578
Greece,25158,2711,794,3180,799
India,62383,6525,1787,8878,1979
Iran,30100,2327,1010,2785,764
Iraq,78294,6117,3049,7380,2277
Ireland,86418,9435,2455,10816,2631
Italy,63692,7825,1740,9703,2117
Japan,44791,4591,1096,6070,1279
Madagascar,1777,201,44,274,44
Mexico,27799,2975,1002,4598,1029
New Zealand,38704,4999,1089,5563,1388
North Korea,9006,791,296,947,237
Panama,3658,472,126,610,161
South Africa,47360,5842,1364,6257,1745
South Korea,11316,1189,230,1272,322
Spain,60455,7657,1549,8603,2063
Syria,24547,1968,1164,2298,812
Thailand,11038,1114,285,1648,336
Turkey,30210,3509,1159,4355,1079
UAE,2690,393,77,316,89
UK,425213,33989,11164,49129,10506
United States,60358,5626,2461,7531,2012
singapore,10817,1129,255,1325,266
